abilities-str-label	data.abilities.str.label	'Strength'
abilities-dex-label	data.abilities.dex.label	'Dexterity'
abilities-con-label	data.abilities.con.label	'Constitution'
abilities-int-label	data.abilities.int.label	'Intelligence'
abilities-wis-label	data.abilities.wis.label	'Wisdom'
abilities-cha-label	data.abilities.cha.label	'Charisma'
attributea-ac-label	data.attributes.ac.label	'Armor Class'
attributes-pd-label	data.attributes.pd.label	'Physical Defense'
attributes-md-label	data.attributes.md.label	'Mental Defense'
attributes-hp-label	data.attributes.hp.label	'Hit Points'
attributes-recoveries-label	data.attributes.recoveries.label	'Recoveries'
attributes-init-label	data.attributes.init.label	'Initiative Modifier'
attributes-level-label	data.attributes.level.label	'Level'
details-alignment-label	data.details.alignment.label	'Alignment'
details-biography-label	data.details.biography.label	'Biography'
details-class-label	data.details.class.label	'Class'
details-race-label	data.details.race.label	'Race'
details-out-label	data.details.out.label	'One Unique Thing'
details-role-label	data.details.role.label	'Role'
details-size-label	data.details.size.label	'Size'
details-type-label	data.details.type.label	'Type'
details-resistance-label	data.details.resistance.label	'Resistance'
details-vulnerability-label	data.details.vulnerability.label	'Vulnerability'
details-level-label	data.details.level.label	'Level'
