name-label	data.name.label	'Name'
description-label	data.description.label	'Description'
powerSource-label	data.powerSource.label	'Power Source'
powerSourceName-label	data.powerSourceName.label	'Power Source Name'
powerType-label	data.powerType.label	'Power Type'
powerUsage-label	data.powerUsage.label	'Power Usage'
powerLevel-label	data.powerLevel.label	'Level'
actionType-label	data.actionType.label	'Action'
range-label	data.range.label	'Range'
trigger-label	data.trigger.label	'Trigger'
target-label	data.target.label	'Target'
always-label	data.always.label	'Always'
attack-label	data.attack.label	'Attack'
hit-label	data.hit.label	'Hit'
hitEven-label	data.hitEven.label	'Natural Even Hit'
hitOdd-label	data.hitOdd.label	'Natural Odd Hit'
crit-label	data.crit.label	'Crit'
miss-label	data.miss.label	'Miss'
missEven-label	data.missEven.label	'Even Miss'
missOdd-label	data.missOdd.label	'Odd Miss'
cost-label	data.cost.label	'Cost'
castBroadEffect-label	data.castBroadEffect.label	'Cast for Broad Effect'
castPower-label	data.castPower.label	'Cast for Power'
sustainedEffect-label	data.sustainedEffect.label	'Opening and Sustained Effect'
finalVerse-label	data.finalVerse.label	'Final Verse'
special-label	data.special.label	'Special'
effect-label	data.effect.label	'Effect'
spellLevel3-label	data.spellLevel3.label	'3rd Level Spell'
spellLevel5-label	data.spellLevel5.label	'5th Level Spell'
spellLevel7-label	data.spellLevel7.label	'7th Level Spell'
spellLevel9-label	data.spellLevel9.label	'9th Level Spell'
spellChain-label	data.spellChain.label	'Chain Spell'
breathWeapon-label	data.breathWeapon.label	'Breath Weapon'
recharge-label	data.recharge.label	'Recharge'
quantity-label	data.quantity.label	'Uses'
maxQuantity-label	data.maxQuantity.label	'Max Uses'
feats-adventurer-description-label	data.feats.adventurer.description.label	 'Adventurer Feat'
feats-adventurer-isActive-label	data.feats.adventurer.isActive.label	 'Active'
feats-champion-description-label	data.feats.champion.description.label	'Champion Feat'
feats-champion-isActive-label	data.feats.champion.isActive.label	'Active'
feats-epic-description-label	data.feats.epic.description.label	'Epic Feat'
feats-epic-isActive-label	data.feats.epic.isActive.label	'Active'
